Vorname einzeln,Anzahl,Geschlecht
Nora,3,w
Ophelia,3,w
Paula,3,w
Sarah,3,w
Theresa,3,w
Alba,0,w
Alina,0,w
Anika,0,w
Anni,0,w
Anouk,0,w
Edda,0,w
Elea,0,w
Elina,0,w
Elisa,0,w
Eva,0,w
Fiona,0,w
Frida,0,w
Frieda,0,w
Friederike,0,w
Helene,0,w
Hermine,0,w
Irma,0,w
Isabel,0,w
Isabella,0,w
Josy,0,w
Lana,0,w
Lena,0,w
Leonie,0,w
Lia,0,w
Liesbeth,0,w
Lilian,0,w
Liliana,0,w
Liselotte,0,w
Malia,0,w
Marta,0,w
Maryam,0,w
Mayla,0,w
Melina,0,w
Mia,0,w
Miriam,0,w
Naomi,0,w
Nelia,0,w
Nina,0,w
Olivia,0,w
Paulina,0,w
Philippa,0,w
Pia,0,w
Rebecca,0,w
Selina,0,w
Sofia,0,w
Valeria,0,w
Victoria,0,w
Adele,0,w
Adelia,0,w
Adelina,0,w
Alena,0,w
Alexa,0,w
Alexandra,0,w
Alexis,0,w
Alisha,0,w
Aliyha,0,w
Amelia,0,w
Amélie,0,w
Amilia,0,w
Amira,0,w
Amrei,0,w
Annabell,0,w
Annabelle,0,w
Annamaria,0,w
Anneliese,0,w
Annika,0,w
Audrey,0,w
Aurelia,0,w
Bella,0,w
Camilla,0,w
Cara,0,w
Caroline,0,w
Cornelia,0,w
Dajana,0,w
Dania,0,w
Daria,0,w
Darina,0,w
Darja,0,w
Diana,0,w
Elena,0,w
Elenka,0,w
Elin,0,w
Elise,0,w
Ellis,0,w
Elva,0,w
Emelia,0,w
Emila,0,w
Emilie,0,w
Enna,0,w
Enya,0,w
Erika,0,w
Esenia,0,w
Esther,0,w
Evangeline,0,w
Fine,0,w
Finja,0,w
Flora,0,w
Florentine,0,w
Gabriella,0,w
Grete,0,w
Gritta,0,w
Gunda,0,w
Hajer,0,w
Hala,0,w
Hannika,0,w
Hassenat,0,w
Hedi,0,w
Henrike,0,w
Hilda,0,w
Hoàng,0,w
Holly,0,w
Homa,0,w
Jale,0,w
Janne,0,w
Jasmen,0,w
Jasmin,0,w
Jelka,0,w
Jette,0,w
Jitka,0,w
Jolanda,0,w
Joleen,0,w
Jolie,0,w
Jolina,0,w
Jonna,0,w
Josefin,0,w
Julia,0,w
Juliane,0,w
Julie,0,w
Kaithlyn,0,w
Kate,0,w
Katharina,0,w
Kim,0,w
Klea,0,w
Lani,0,w
Laura,0,w
Leah,0,w
Leandra,0,w
Leevke,0,w
Lela,0,w
Leona,0,w
Leonora,0,w
Leonore,0,w
Leyla,0,w
Lieselotte,0,w
Lillian,0,w
Lily,0,w
Linea,0,w
Lineé,0,w
Lingxue,0,w
Liria,0,w
Lisa,0,w
Lisbeth,0,w
Liv,0,w
Lore,0,w
Lucia,0,w
Lucie,0,w
Luisa,0,w
Lulia,0,w
Luzi,0,w
Lydia,0,w
Lysann,0,w
Magdalene,0,w
Maggy,0,w
Mahnoor,0,w
Maila,0,w
Maja,0,w
Malea,0,w
Malena,0,w
Målin,0,w
Malú,0,w
Maram,0,w
María,0,w
Mariana,0,w
Marianna,0,w
Mariella,0,w
Maron,0,w
Mary,0,w
Masa,0,w
Mathea,0,w
Maya,0,w
Mayra,0,w
Milda,0,w
Milena,0,w
Millie,0,w
Mimi,0,w
Mio,0,w
Mischa,0,w
Mona,0,w
Nastaran,0,w
Oana,0,w
Pippa,0,w
Rabea,0,w
Rebekka,0,w
Rieke,0,w
Ronia,0,w
Ronja,0,w
Rosa,0,w
Rosalin,0,w
Rosel,0,w
Rovan,0,w
Rubi,0,w
Runa,0,w
Safa,0,w
Samina,0,w
Sana,0,w
Sanna,0,w
Sara,0,w
Sarina,0,w
Scarlett,0,w
Schahed,0,w
Shaza,0,w
Shiza,0,w
Sienna,0,w
Silva,0,w
Snezana,0,w
Stella,0,w
Susanna,0,w
Svenja,0,w
Swea,0,w
Tabea,0,w
Taisia,0,w
Tala,0,w
Tam,0,w
Tasnim,0,w
Tessa,0,w
Tilda,0,w
Tonia,0,w
unbekannt,0,w
Usna,0,w
Vaiana,0,w
Valentina,0,w
Vanessa,0,w
Veronika,0,w
Viktoria,0,w
Viona,0,w
Wanda,0,w
Wasila,0,w
Xin,0,w
Zoé,0,w
Zora,0,w
