"Vorname einzeln","Anzahl","Geschlecht"
"Emil",13,"m"
"Jonas",12,"m"
"Paul",12,"m"
"Oskar",11,"m"
"Theodor",10,"m"
"Anton",8,"m"
"Leon",8,"m"
"Arthur",7,"m"
"Jakob",7,"m"
"Jonathan",7,"m"
"Alfred",6,"m"
"Elias",6,"m"
"Erik",6,"m"
"Felix",6,"m"
"Johann",6,"m"
"Karl",6,"m"
"Maximilian",6,"m"
"Moritz",6,"m"
"Noah",6,"m"
"Friedrich",5,"m"
"Fritz",5,"m"
"Henry",5,"m"
"Konstantin",5,"m"
"Max",5,"m"
"Tim",5,"m"
"Adrian",4,"m"
"Benjamin",4,"m"
"Henri",4,"m"
"Julius",4,"m"
"Levi",4,"m"
"Luca",4,"m"
"Lukas",4,"m"
"Mattis",4,"m"
"Ole",4,"m"
"Richard",4,"m"
"Theo",4,"m"
"Valentin",4,"m"
"Arne",3,"m"
"Benedikt",3,"m"
"Bruno",3,"m"
"Carl",3,"m"
"Egon",3,"m"
"Fabian",3,"m"
"Florian",3,"m"
"Franz",3,"m"
"Johannes",3,"m"
"Leonardo",3,"m"
"Levin",3,"m"
"Luis",3,"m"
"Malte",3,"m"
"Mateo",3,"m"
"Matteo",3,"m"
"Miro",3,"m"
"Oscar",3,"m"
"Tristan",3,"m"
"Vincent",3,"m"
"Aaron",0,"m"
"Abdulmonem",0,"m"
"Adam",0,"m"
"Adrijon",0,"m"
"Akil",0,"m"
"Alan",0,"m"
"Alexander",0,"m"
"Ali",0,"m"
"Alvar",0,"m"
"Alwin",0,"m"
"Amir",0,"m"
"André",0,"m"
"Andrej",0,"m"
"Angelo",0,"m"
"Armin",0,"m"
"Aron",0,"m"
"Artur",0,"m"
"Arved",0,"m"
"Arvid",0,"m"
"Aryan",0,"m"
"Aurel",0,"m"
"Aurelius",0,"m"
"Ayden",0,"m"
"Ayur",0,"m"
"Bastian",0,"m"
"Ben",0,"m"
"Benno",0,"m"
"Bent",0,"m"
"Berend",0,"m"
"Björn",0,"m"
"Carlo",0,"m"
"Charlie",0,"m"
"Chenxi",0,"m"
"Christian",0,"m"
"Clemens",0,"m"
"Cody",0,"m"
"Colin",0,"m"
"Constantin",0,"m"
"David",0,"m"
"Demetre",0,"m"
"Dexter",0,"m"
"Diego",0,"m"
"Domenic",0,"m"
"Eddie",0,"m"
"Edgar",0,"m"
"Edwin",0,"m"
"Efstratios",0,"m"
"Elia",0,"m"
"Elmar",0,"m"
"Elmo",0,"m"
"Elvis",0,"m"
"Emilio",0,"m"
"Eneas",0,"m"
"Eric",0,"m"
"Erlis",0,"m"
"Ernst",0,"m"
"Ersar",0,"m"
"Etienne",0,"m"
"Fabio",0,"m"
"Fady",0,"m"
"Falco",0,"m"
"Ferdinand",0,"m"
"Filian",0,"m"
"Filippo",0,"m"
"Finn",0,"m"
"Fionn",0,"m"
"Florentin",0,"m"
"Fred",0,"m"
"Freddi",0,"m"
"Frederik",0,"m"
"Frido",0,"m"
"Fynn",0,"m"
"Gabriel",0,"m"
"Georg",0,"m"
"George",0,"m"
"Gregor",0,"m"
"Gregori",0,"m"
"Gustav",0,"m"
"Hannes",0,"m"
"Hans",0,"m"
"Harry",0,"m"
"Hauke",0,"m"
"Heinrich",0,"m"
"Helmut",0,"m"
"Hjälte",0,"m"
"Husin",0,"m"
"Hussam",0,"m"
"Immanuel",0,"m"
"Jacob",0,"m"
"James",0,"m"
"Jan",0,"m"
"Janne",0,"m"
"Jannis",0,"m"
"Janosch",0,"m"
"Jaro",0,"m"
"Jaron",0,"m"
"Jason",0,"m"
"Jasper",0,"m"
"Jeff",0,"m"
"Jieen",0,"m"
"Joel",0,"m"
"Joey",0,"m"
"Jona",0,"m"
"Jonny",0,"m"
"Jorik",0,"m"
"Jorin",0,"m"
"Joris",0,"m"
"Joshua",0,"m"
"Josiah",0,"m"
"Jovan",0,"m"
"Julian",0,"m"
"Juri",0,"m"
"Justus",0,"m"
"Kamel",0,"m"
"Karam",0,"m"
"Knut",0,"m"
"Kolja",0,"m"
"Kurt",0,"m"
"Lasse",0,"m"
"Laurenz",0,"m"
"Laurin",0,"m"
"Lennard",0,"m"
"Lenny",0,"m"
"Leo",0,"m"
"Leonard",0,"m"
"Leonid",0,"m"
"Leopold",0,"m"
"Liam",0,"m"
"Lian",0,"m"
"Lias",0,"m"
"Linus",0,"m"
"Lio",0,"m"
"Lio Nathan",0,"m"
"Loui",0,"m"
"Lucas",0,"m"
"Luka",0,"m"
"Mahmod",0,"m"
"Mahmoud",0,"m"
"Maksymilian",0,"m"
"Manjinder",0,"m"
"Manolo",0,"m"
"Marcel",0,"m"
"Marlon",0,"m"
"Marvin",0,"m"
"Matheo",0,"m"
"Mathis",0,"m"
"Mato",0,"m"
"Mats",0,"m"
"Mattes",0,"m"
"Mattheo",0,"m"
"Matthis",0,"m"
"Matti",0,"m"
"Maxim",0,"m"
"Meer",0,"m"
"Micah",0,"m"
"Michael",0,"m"
"Michel",0,"m"
"Mika",0,"m"
"Milan",0,"m"
"Milo",0,"m"
"Miron",0,"m"
"Mohamed",0,"m"
"Mohammad",0,"m"
"Mohammed",0,"m"
"Mohanad",0,"m"
"Mylo",0,"m"
"Nathan",0,"m"
"Nathanael",0,"m"
"Navid",0,"m"
"Nic",0,"m"
"Nico",0,"m"
"Niklas",0,"m"
"Niko",0,"m"
"Nils",0,"m"
"Nino",0,"m"
"Norik",0,"m"
"Odiseas",0,"m"
"Onno",0,"m"
"Orges",0,"m"
"Otis",0,"m"
"Otto",0,"m"
"Pan",0,"m"
"Pascal",0,"m"
"Pavel",0,"m"
"Peer",0,"m"
